id,name,overview,tagline,first_air_date,vote_average,vote_count,popularity,original_language,status,type,number_of_seasons,number_of_episodes,networks,genres,production_companies,content_rating,top_cast,directors,writers,keywords
157285,The Guardians of Justice,"When their seemingly fearless leader self-destructs, a team of troubled superheroes must confront festering evil in the world — and in themselves.",,2022-03-01,5.4,77,19.6935,en,Ended,Scripted,1,7,['Netflix'],"['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure', 'Comedy']",['Bootleg Universe'],,"['Page Falkinburg Jr.', 'Sharni Vinson', 'Denise Richards', 'Derek Mears', 'John Hennigan']",[],[],"['superhero', 'superhero team']"
81532,Living with Yourself,"Burned out on life, Miles undergoes a strange procedure at a strip mall spa -- and wakes to find he's been replaced by a better version of himself.",,2019-10-18,6.7,314,19.5481,en,Ended,Scripted,1,8,['Netflix'],"['Comedy', 'Drama']","['Jax Media', 'Likely Story']",,"['Paul Rudd', 'Aisling Bea', 'Ali Akbar Sepahi']",[],"['Anthony Bregman', 'Paul Rudd', 'Jeffrey Blitz', 'Jonathan Dayton', 'Valerie Faris', 'Timothy Greenberg', 'Jeff Stern', 'Tony Hernandez']","['depression', 'married couple', 'dark comedy', 'human cloning', 'introspective']"
201874,Blockbuster,"In this feel-good workplace comedy, the staff at the last surviving Blockbuster video store tries to keep the business afloat.",A comeback that's long overdue.,2022-11-03,5.4,129,19.5041,en,Canceled,Scripted,1,10,['Netflix'],['Comedy'],"['Davis Entertainment', 'Universal Television']",,"['Randall Park', 'Melissa Fumero', 'Olga Merediz', 'Tyler Alvarez', 'Madeleine Arthur']",[],"['Vanessa Ramos', 'David Caspe', 'John Davis', 'Jackie Clarke', 'John Fox']",['workplace comedy']
204684,Oddballs,Bubble-shaped boy James questions anything and everything that annoys him. The result? An awesome life of odd adventure with his two best friends.,You see an elephant?! That means you are stressed! Or a homicidal maniac.,2022-10-07,7.5,45,19.3821,en,Canceled,Scripted,2,20,['Netflix'],"['Action & Adventure', 'Comedy', 'Animation']",['Atomic Cartoons'],,"['Robert James Rallison', 'Julian Gant', 'Kimberly Brooks', 'Carl Faruolo', 'Gary Anthony Williams']",[],"['Matthew Berkowitz', 'Robert James Rallison', 'Michael Zoumas', 'Aaron Behl', 'Jennifer Twiner McCarron', 'Carl Faruolo', 'Ethan Banville']","['future', 'crocodile', 'friendship', 'toaster', 'hubble', 'feel good']"
71890,Friends from College,"Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.",,2017-07-14,6.3,108,19.3789,en,Canceled,Scripted,2,16,['Netflix'],['Comedy'],['Stoller Global Solutions'],,"['Keegan-Michael Key', 'Cobie Smulders', 'Annie Parisse', 'Nat Faxon', 'Fred Savage']",[],['Nicholas Stoller'],"['harvard university', 'friendship', 'forty something', 'group of friends', 'sitcom']"
92684,The Last Kids on Earth,"Young teenager Jack Sullivan and a group of friends live in a decked-out tree house, playing video games, eating candy, and fighting zombies in the aftermath of a monster apocalypse.",,2019-09-17,7.95,40,19.3248,en,Ended,Scripted,3,21,['Netflix'],"['Animation', 'Comedy', 'Sci-Fi & Fantasy']",['Atomic Cartoons'],,"['Bruce Campbell', 'Mark Hamill', 'Nick Wolfhard', 'Keith David', 'Rosario Dawson']",[],['Matthew Berkowitz'],"['monster', 'apocalypse', 'zombie', ""based on children's book"", 'pre-teen']"
88512,Bonding,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,,2019-04-24,7.0,288,19.2484,en,Canceled,Scripted,2,15,['Netflix'],"['Drama', 'Comedy']","['Anonymous Content', 'Blackpills']",,"['Zoe Levin', 'Brendan Scannell', 'Micah Stock']",[],[],"['fetish', 'fetishism', 'relationship problems', 'dominatrix', 'female protagonist', 'kinky', 'bdsm', 'lgbt', 'sex worker', 'short film']"
202864,Farzar,Follow the adventures of Prince Fichael and his crew as they venture out of their domed human city to fight the evil aliens that want to kill and/or eat them.,,2022-07-15,5.98,49,19.2036,en,Canceled,Scripted,1,10,['Netflix'],"['Sci-Fi & Fantasy', 'Comedy', 'Animation']","['Bento Box Entertainment', 'Damn! Show Productions', 'Odenkirk Provissiero Entertainment']",,"['Lance Reddick', 'Dana Snyder', 'David Kaye', 'Jerry Minor', 'Kari Wahlgren']",[],"[""Waco O'Guin"", 'Roger Black', 'Joel Kuwahara', 'Marc Provissiero', 'Scott Greenberg']","['prince', 'space', 'alien invasion', 'adult animation']"
227139,Survival of the Thickest,"Black, plus-size and newly single, Mavis unexpectedly finds herself having to rebuild her life after putting all her eggs in one man's basket, but she's determined to not only survive but thrive with the support of her chosen family.",Thick girls are having a mo'ment.,2023-07-13,6.7,34,19.2013,en,Returning Series,Scripted,2,16,['Netflix'],"['Comedy', 'Drama']","['A24', 'Mosaic']",,"['Michelle Buteau', 'Tone Bell', 'Tasha Smith']",[],[],['based on novel or book']
76438,Everything Sucks!,"It's 1996 in a town called Boring, Oregon, where high school misfits in the AV and drama clubs brave the ups and downs of teenage emotions in the VHS era.",You can't fast forward high school.,2018-02-16,7.2,252,18.8748,en,Canceled,Scripted,1,10,['Netflix'],"['Drama', 'Comedy']",['Midnight Radio'],,"['Peyton Kennedy', ""Jahi Di'Allo Winston"", 'Quinn Liebling', 'Rio Mangini', 'Sydney Sweeney']",[],"['Ben York Jones', 'Josh Appelbaum', 'Jeff Pinkner', 'Michael Mohan', 'André Nemec', 'Scott Rosenberg']","['coming out', 'road trip', 'coming of age', 'school play', 'lgbt', 'estranged father', 'interracial friendship', 'lost mother', 'small town milieu', '1990s']"
197588,Man Vs Bee,"A man finds himself at war with a bee while house-sitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?",Prepare for battle.,2022-06-24,7.185,589,18.8564,en,Ended,Scripted,1,9,['Netflix'],"['Comedy', 'Family']","['HouseSitter Productions', 'Redrum Films']",,['Rowan Atkinson'],[],"['Will Davies', 'Chris Clark']","['slapstick comedy', 'house-sitting']"
83412,The Hook Up Plan,"In a misguided attempt to build up perpetually single Elsa's confidence, her friends hire a male escort. A comedy series set in Paris.",,2018-12-07,6.7,56,18.6129,fr,Ended,Scripted,3,20,['Netflix'],['Comedy'],"['unRATED Studios', 'My Box Films']",,"['Zita Hanrot', 'Sabrina Ouazani', 'Joséphine Draï', 'Marc Ruchmann', 'Guillaume Labbé']",[],['Chris Lang'],"['paris, france', 'friendship', 'romance', 'best friend', 'lovestory']"
219532,Exploding Kittens,"It's the ultimate fight between good and evil when God and his nemesis, the spawn of Satan, are sent to Earth to live with humans — as talking cats.",God and the Devil. Trapped in cat bodies.,2024-07-12,7.753,77,18.5724,en,Canceled,Scripted,1,9,['Netflix'],"['Animation', 'Comedy']","['Bandera Entertainment', 'Chernin Entertainment', 'Exploding Kittens', 'Chomp City']",,"['Tom Ellis', 'Ally Maki', 'Mark Proksch', 'Sasheer Zamata', 'Suzy Nakamura']",[],"['Peter Chernin', 'Greg Daniels', 'Shane Kosakowski', 'Matthew Inman', 'Dustin Davis', 'Jenno Topping', 'Elan Lee', 'Mike Judge']","['cat', 'god', 'devil', 'adult animation', 'based on card game']"
242054,The Residence,"A brilliant, eccentric detective must solve a murder in the White House residence — where the staff and guests at a state dinner are all suspects.",132 rooms. 157 suspects. 1 dead body.,2025-03-20,7.417,157,18.5668,en,Returning Series,Scripted,1,8,['Netflix'],['Comedy'],['shondaland'],,"['Uzo Aduba', 'Giancarlo Esposito', 'Molly Griggs', 'Ken Marino', 'Randall Park']",[],"['Shonda Rhimes', 'Betsy Beers', 'Paul William Davies']","['detective', 'based on novel or book', 'the white house', 'murder', 'whodunit', 'dramedy', 'murder mystery']"
115857,Daughter from Another Mother,"After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family.",,2021-01-20,7.6,1246,18.5627,es,Ended,Scripted,3,27,['Netflix'],"['Comedy', 'Drama']",['Perro Azul'],,"['Ludwika Paleta', 'Paulina Goto', 'Martín Altomaro', 'Liz Gallardo', 'Javier Ponce']",[],"['Fernando Sariñana', 'Carolina Rivera', 'Juan Uruchurtu', 'Alexis Fridman']","['mother', 'female friendship', 'daughter', 'motherhood', 'switched at birth']"
158138,Super Giant Robot Brothers!,"Two squabbling robot brothers battle bloodthirsty kaijus, supernatural disasters and mundane personal issues as they adapt to the trials of growing up.",,2022-08-04,6.8,13,18.5231,en,Ended,Scripted,1,10,['Netflix'],"['Animation', 'Action & Adventure', 'Comedy']",['Reel FX Creative Studios'],,"['Eric Lopez', 'Chris Diamantopoulos', 'Marisa Davila', 'Delbert Hunt', 'Sitara Attaie']",[],"['Tommy Blacha', 'Mark Andrews', 'Alfredo Torres Martínez', ""Steve O'Brien"", 'Jared Mass', 'Víctor Maldonado']","['young boy', 'robot', 'kaiju', 'brothers', '3d animation', 'western animation']"
130077,Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,Loving. Loyal. Lit.,2021-09-17,6.164,67,18.4945,en,Canceled,Scripted,1,16,['Netflix'],"['Animation', 'Comedy']","['23/34 Productions', 'Olive Bridge Entertainment', 'Titmouse']",,"['Lauren Ash', ""Rory O'Malley"", 'RuPaul', 'Jill Talley', 'Ike Barinholtz']",[],"['Ike Barinholtz', 'Will Gluck', 'Chris Witaske', 'Matthew Craig', 'Jon Barinholtz', 'Richard Schwartz', 'Chris Prynoski', 'Katie Rich', 'Ben Kalina', 'Antonio Canobbio', 'Dave Stassen']","['chicago, illinois', 'agent', 'adult animation', 'sitcom']"
67148,Haters Back Off,"Delve into the oddball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise, who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.",Up-and-coming talent has to up-and-come from nowhere,2016-10-14,6.1,75,18.3688,en,Canceled,Scripted,2,16,['Netflix'],['Comedy'],"['McCreery-Rein', 'The Firm', 'Brightlight Pictures']",,"['Colleen Ballinger', 'Angela Kinsey', 'Francesca Reale', 'Erik Stocklin', 'Steve Little']",[],[],"['youtube', 'viral video']"
111838,The Woman in the House Across the Street from the Girl in the Window,"For Anna, every day is the same. She sits with her wine, staring out the window, watching life go by without her. But when a handsome neighbor moves in across the street, Anna starts to see a light at the end of the tunnel. That is until she witnesses a gruesome murder… Or did she?","When it rains, she pours.",2022-01-28,6.6,458,18.3489,en,Ended,Miniseries,1,8,['Netflix'],"['Mystery', 'Crime', 'Comedy']",['Gloria Sanchez Productions'],,"['Kristen Bell', 'Tom Riley']",['Michael Lehmann'],"['Brittney Segal', 'Jessica Elbaum', 'Hugh Davidson', 'Rachel Ramras', 'Kristen Bell', 'Larry Dorf', 'Will Ferrell']","['window', 'parody', 'dark comedy', 'spoof', 'murder mystery']"
